cast_row_id,movie_id,person_id,actor_name,character_name,cast_order
1,157336,10297,Matthew McConaughey,Cooper,0
2,157336,1813,Anne Hathaway,Brand,1
3,157336,3895,Michael Caine,Professor Brand,2
4,157336,83002,Jessica Chastain,Murph,3
5,157336,1893,Casey Affleck,Tom,4
6,157336,8210,Wes Bentley,Doyle,5
7,157336,17052,Topher Grace,Getty,6
8,157336,851784,Mackenzie Foy,Murph (10 Yrs.),7
9,157336,9560,Ellen Burstyn,Murph (older),8
10,157336,12074,John Lithgow,Donald,9
11,27205,6193,Leonardo DiCaprio,Dom Cobb,0
12,27205,24045,Joseph Gordon-Levitt,Arthur,1
13,27205,3899,Ken Watanabe,Saito,2
14,27205,2524,Tom Hardy,Eames,3
15,27205,27578,Elliot Page,Ariadne,4
16,27205,95697,Dileep Rao,Yusuf,5
17,27205,2037,Cillian Murphy,"Robert Fischer, Jr.",6
18,27205,13022,Tom Berenger,Peter Browning,7
19,27205,8293,Marion Cotillard,Mal Cobb,8
20,27205,4935,Pete Postlethwaite,Maurice Fischer,9
21,24428,3223,Robert Downey Jr.,Tony Stark / Iron Man,0
22,24428,16828,Chris Evans,Steve Rogers / Captain America,1
23,24428,103,Mark Ruffalo,Bruce Banner / The Hulk,2
24,24428,74568,Chris Hemsworth,Thor,3
25,24428,1245,Scarlett Johansson,Natasha Romanoff / Black Widow,4
26,24428,17604,Jeremy Renner,Clint Barton / Hawkeye,5
27,24428,91606,Tom Hiddleston,Loki,6
28,24428,9048,Clark Gregg,Agent Phil Coulson,7
29,24428,71189,Cobie Smulders,Agent Maria Hill,8
30,24428,1640,Stellan Skarsgård,Selvig,9
31,155,3894,Christian Bale,Bruce Wayne,0
32,155,1810,Heath Ledger,Joker,1
33,155,6383,Aaron Eckhart,Harvey Dent,2
34,155,3895,Michael Caine,Alfred,3
35,155,1579,Maggie Gyllenhaal,Rachel,4
36,155,64,Gary Oldman,Gordon,5
37,155,192,Morgan Freeman,Lucius Fox,6
38,155,53651,Monique Gabriela Curnen,Ramirez,7
39,155,57597,Ron Dean,Wuertz,8
40,155,2037,Cillian Murphy,Scarecrow,9
41,19995,65731,Sam Worthington,Jake Sully,0
42,19995,8691,Zoe Saldaña,Neytiri,1
43,19995,10205,Sigourney Weaver,Dr. Grace Augustine,2
44,19995,32747,Stephen Lang,Colonel Miles Quaritch,3
45,19995,17647,Michelle Rodriguez,Trudy Chacon,4
46,19995,1771,Giovanni Ribisi,Parker Selfridge,5
47,19995,59231,Joel David Moore,Norm Spellman,6
48,19995,30485,CCH Pounder,Mo'at,7
49,19995,15853,Wes Studi,Eytukan,8
50,19995,10964,Laz Alonso,Tsu'Tey,9
51,293660,10859,Ryan Reynolds,Wade / Deadpool,0
52,293660,54882,Morena Baccarin,Vanessa,1
53,293660,1047649,Ed Skrein,Ajax,2
54,293660,51990,T.J. Miller,Weasel,3
