crew_row_id,movie_id,person_id,person_name,job,department
1,157336,527,Jonathan Nolan,Writer,Writing
2,157336,525,Christopher Nolan,Writer,Writing
3,157336,525,Christopher Nolan,Director,Directing
4,27205,525,Christopher Nolan,Writer,Writing
5,27205,525,Christopher Nolan,Director,Directing
6,24428,12891,Joss Whedon,Director,Directing
7,24428,12891,Joss Whedon,Screenplay,Writing
8,155,525,Christopher Nolan,Screenplay,Writing
9,155,527,Jonathan Nolan,Screenplay,Writing
10,155,525,Christopher Nolan,Director,Directing
11,19995,2710,James Cameron,Director,Directing
12,19995,2710,James Cameron,Writer,Writing
13,293660,7932,Rhett Reese,Writer,Writing
14,293660,91269,Paul Wernick,Writer,Writing
15,293660,55252,Tim Miller,Director,Directing
16,550,7467,David Fincher,Director,Directing
17,550,7469,Jim Uhls,Screenplay,Writing
18,299536,5551,Christopher Markus,Screenplay,Writing
19,299536,5552,Stephen McFeely,Screenplay,Writing
20,299536,19271,Anthony Russo,Director,Directing
21,299536,19272,Joe Russo,Director,Directing
22,278,4027,Frank Darabont,Screenplay,Writing
23,278,4027,Frank Darabont,Director,Directing
24,680,138,Quentin Tarantino,Director,Directing
25,680,138,Quentin Tarantino,Writer,Writing
26,13,27,Eric Roth,Screenplay,Writing
27,13,24,Robert Zemeckis,Director,Directing
28,118340,15218,James Gunn,Director,Directing
29,118340,1171123,Nicole Perlman,Writer,Writing
30,118340,15218,James Gunn,Writer,Writing
31,671,10965,Chris Columbus,Director,Directing
32,671,10967,Steve Kloves,Screenplay,Writing
33,1726,79207,Mark Fergus,Screenplay,Writing
34,1726,79209,Hawk Ostby,Screenplay,Writing
35,1726,18873,Art Marcum,Screenplay,Writing
36,1726,18875,Matt Holloway,Screenplay,Writing
37,1726,15277,Jon Favreau,Director,Directing
38,603,9340,Lana Wachowski,Director,Directing
39,603,9340,Lana Wachowski,Writer,Writing
40,603,9339,Lilly Wachowski,Writer,Writing
41,603,9339,Lilly Wachowski,Director,Directing
42,68718,138,Quentin Tarantino,Writer,Writing
43,68718,138,Quentin Tarantino,Director,Directing
44,299534,5551,Christopher Markus,Screenplay,Writing
45,299534,5552,Stephen McFeely,Screenplay,Writing
46,299534,19271,Anthony Russo,Director,Directing
47,299534,19272,Joe Russo,Director,Directing
48,475557,324,Scott Silver,Writer,Writing
49,475557,57130,Todd Phillips,Writer,Writing
50,475557,57130,Todd Phillips,Director,Directing
51,120,108,Peter Jackson,Director,Directing
52,120,126,Fran Walsh,Screenplay,Writing
53,120,128,Philippa Boyens,Screenplay,Writing
54,120,108,Peter Jackson,Screenplay,Writing
55,597,2710,James Cameron,Director,Directing
56,597,2710,James Cameron,Writer,Writing
57,122,108,Peter Jackson,Director,Directing
58,122,126,Fran Walsh,Screenplay,Writing
59,122,108,Peter Jackson,Screenplay,Writing
60,122,128,Philippa Boyens,Screenplay,Writing
61,106646,1032,Martin Scorsese,Director,Directing
62,106646,62635,Terence Winter,Screenplay,Writing
63,11324,20294,Laeta Kalogridis,Screenplay,Writing
64,11324,1032,Martin Scorsese,Director,Directing
65,99861,12891,Joss Whedon,Writer,Writing
66,99861,12891,Joss Whedon,Director,Directing
67,49026,527,Jonathan Nolan,Screenplay,Writing
