movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,status,overview
157336,Interstellar,en,2014-11-05,169,165000000.0,746606706.0,73.0452,8.484,40566,Released,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
27205,Inception,en,2010-07-15,148,160000000.0,839030630.0,55.8497,8.4,39727,Released,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
24428,The Avengers,en,2012-04-25,143,220000000.0,1518815515.0,72.2515,8.062,38993,Released,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"
155,The Dark Knight,en,2008-07-16,152,185000000.0,1004558444.0,60.551,8.534,36255,Released,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
19995,Avatar,en,2009-12-16,162,237000000.0,2923706026.0,48.1996,7.61,34348,Released,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
293660,Deadpool,en,2016-02-09,108,58000000.0,782837347.0,29.3387,7.625,33003,Released,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."
550,Fight Club,en,1999-10-15,139,63000000.0,100853753.0,53.7525,8.438,32496,Released,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."
299536,Avengers: Infinity War,en,2018-04-25,149,300000000.0,2052415039.0,81.4079,8.24,32435,Released,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
278,The Shawshank Redemption,en,1994-09-23,142,25000000.0,28341469.0,76.9826,8.727,30915,Released,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
680,Pulp Fiction,en,1994-09-10,154,8000000.0,213928762.0,42.035,8.482,30542,Released,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
13,Forrest Gump,en,1994-06-23,142,55000000.0,677387716.0,35.6479,8.464,30101,Released,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him."
118340,Guardians of the Galaxy,en,2014-07-30,121,170000000.0,772776600.0,18.9524,7.907,29995,Released,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser."
671,Harry Potter and the Philosopher's Stone,en,2001-11-16,152,125000000.0,1029374615.0,51.2643,7.901,29907,Released,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame."
1726,Iron Man,en,2008-04-30,126,140000000.0,585174222.0,47.9092,7.664,28431,Released,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
603,The Matrix,en,1999-03-31,136,63000000.0,463517383.0,49.0193,8.253,28322,Released,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
68718,Django Unchained,en,2012-12-25,165,100000000.0,425368238.0,49.674,8.193,28315,Released,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
